Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
68,3,0,1,0,0,0,0,2,38,416,400,23,1,800000
69,3,0,1,0,0,0,0,2,38,415,400,23,1,800000
70,3,0,1,0,0,0,0,2,38,414,400,22,1,800000
71,3,0,1,0,0,0,0,2,38,413,400,22,1,800000
72,3,0,1,0,0,0,0,2,38,412,400,21,1,800000
73,3,0,1,0,0,0,0,2,38,411,400,21,1,800000
74,3,0,1,0,0,0,0,2,38,410,400,20,1,800000
75,3,0,0,1,0,0,0,0,38,408,400,20,1,800000
76,4,0,0,1,0,0,0,0,0,406,400,19,1,800000
77,0,0,1,0,0,0,0,0,0,400,400,19,1,800000
78,0,0,1,0,0,0,0,0,0,400,400,18,1,800000
79,0,0,1,0,0,0,0,0,0,400,400,17,1,800000
80,0,0,1,0,0,0,0,0,0,400,400,16,1,800000
81,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
82,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
83,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
84,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
85,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
86,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
87,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
88,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
89,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
90,0,0,1,0,0,0,0,0,0,400,400,15,1,800000
